Wavelength	Xsec_3
194.48087	3.575944640979544e-18
194.48179	3.659003236122353e-18
194.57667	4.9963118722045515e-18
194.61227	4.914370085045667e-18
194.61318	5.8117581982580525e-18
194.6141	6.263676891517898e-18
194.61501	6.088357472877255e-18
194.62688	5.880046797395091e-18
194.62779	6.486577557084559e-18
194.62871	6.9083036062321906e-18
194.62962	7.125665254069885e-18
194.63053	6.977287449626082e-18
194.63145	6.545073618157699e-18
194.63236	6.103411889909739e-18
194.66798	6.411120345651944e-18
194.67347	8.066574423944852e-18
194.67438	6.9259514536262645e-18
194.67529	6.096633787802263e-18
194.70728	6.47393987934829e-18
194.70819	7.048575070257676e-18
194.7091	7.477912398063607e-18
194.71642	6.648102191553434e-18
194.78591	7.226278375331589e-18
194.81519	9.473945893511767e-18
194.82708	9.333084034769444e-18
194.828	9.969105607903322e-18
194.84172	1.1159144371687578e-17
194.87926	7.954472038240131e-18
194.88567	6.17475930093014e-18
194.88658	5.963711343208928e-18
194.8875	5.899314606542117e-18
194.88841	6.210782744441941e-18
194.88933	7.099740625263835e-18
195.04971	6.403151831045916e-18
195.05062	7.278072102550076e-18
195.05154	7.79401857600171e-18
195.05246	7.92761411435816e-18
195.05337	7.628018616923192e-18
195.05429	7.03118946331019e-18
195.05521	6.544827268966494e-18
195.05613	6.293618516917395e-18
195.08181	4.736693274076375e-18
195.08273	6.0858569930001016e-18
195.08365	6.719952743761203e-18
195.09649	6.571833369208203e-18
195.09741	6.2526487062933655e-18
195.09833	5.9115864959837665e-18
195.09925	5.657272480426216e-18
195.10016	5.393921153205039e-18
195.10108	5.179881672779342e-18
195.102	5.1918770471805025e-18
195.10292	5.417021588138538e-18
195.10383	5.64682534344483e-18
195.10475	5.713797359624435e-18
195.10567	5.633435948136992e-18
195.10659	5.521320212478208e-18
195.13229	7.214346497375227e-18
195.18738	4.738213157490488e-18
195.1883	4.916130694798165e-18
195.18922	5.0801680905926026e-18
195.19014	5.227662483798735e-18
195.19106	5.503572738039804e-18
195.19381	5.996135525047952e-18
195.21494	4.89941814924822e-18
195.21586	5.437053571029041e-18
195.22137	6.160247258141183e-18
195.22229	5.559648230265139e-18
195.2278	4.037825440196058e-18
195.30778	5.011304651178015e-18
195.3087	4.9760760078584145e-18
195.30962	5.045286802811781e-18
195.31054	5.062292163889698e-18
195.31146	4.880526384533179e-18
195.37677	3.790840398697409e-18
195.44582	6.0482023531054515e-18
195.44674	6.76617064818297e-18
195.44766	7.402128581634848e-18
195.44858	8.033237136511465e-18
195.4495	8.683503786364421e-18
195.45042	9.361768870667808e-18
195.45134	9.957736266130442e-18
195.45227	1.0219582843296275e-17
195.45319	9.988264302821954e-18
195.45595	7.093629104548474e-18
195.53058	3.934854048234219e-18
195.5315	5.046591318699127e-18
195.53242	5.569645409642219e-18
195.53335	5.4426002612188186e-18
195.53427	4.9471401303514655e-18
195.53519	4.180493286997434e-18
195.57299	5.820729830770615e-18
195.57391	5.716637826273799e-18
195.57483	5.752396740612924e-18
195.57576	6.0505323203136596e-18
195.57668	6.482916704184469e-18
195.6431	4.82985961288048e-18
195.64402	5.09153579720434e-18
195.71048	2.627945806312367e-18
195.71141	2.857580297607885e-18
195.71233	3.435980740376651e-18
195.71325	4.185603359388222e-18
195.71418	4.696294653109257e-18
195.77145	3.6076073855675044e-18
195.77237	4.636927845010038e-18
195.77329	5.5777611485262284e-18
195.77422	6.053109516100891e-18
195.77514	5.864471831555745e-18
195.77607	5.167419401299511e-18
195.78993	4.1799015715819346e-18
195.79085	4.212761312435599e-18
195.79178	4.014525690489977e-18
195.84262	2.1869714752893016e-18
