wavelength	dark	noise	dark+noise
203.3597	0.000118039000 	0.000032956200 	0.000150995000 
203.3607	0.000113254000 	0.000033000300 	0.000146254000 
203.3617	0.000098620800 	0.000033083300 	0.000131704000 
203.36269	0.000086478000 	0.000033144700 	0.000119623000 
203.36369	0.000079748400 	0.000033072300 	0.000112821000 
203.36469	0.000076231700 	0.000032651400 	0.000108883000 
203.36569	0.000076661300 	0.000032578600 	0.000109240000 
203.36668	0.000082473000 	0.000032663000 	0.000115136000 
203.36768	0.000091805500 	0.000032720100 	0.000124526000 
203.36868	0.000101299000 	0.000032856400 	0.000134155000 
203.36967	0.000111859000 	0.000033070100 	0.000144929000 
203.37067	0.000128415000 	0.000032986200 	0.000161401000 
203.37167	0.000149342000 	0.000032754100 	0.000182096000 
203.37266	0.000163751000 	0.000032531700 	0.000196282000 
203.37366	0.000162335000 	0.000032219700 	0.000194554000 
203.37466	0.000145614000 	0.000031710000 	0.000177324000 
203.37566	0.000119701000 	0.000031137000 	0.000150838000 
203.37665	0.000086929300 	0.000030813200 	0.000117742000 
203.37765	0.000059347700 	0.000030846900 	0.000090194600 
203.37865	0.000064628200 	0.000031038900 	0.000095667100 
203.37964	0.000066295500 	0.000031185900 	0.000097481400 
203.38064	0.000061418200 	0.000031187800 	0.000092606000 
203.38164	0.000047548300 	0.000031061700 	0.000078610000 
203.38264	0.000031484900 	0.000030379100 	0.000061864000 
203.38363	0.000037891600 	0.000029369400 	0.000067261000 
203.38463	0.000054962900 	0.000028651600 	0.000083614500 
203.38563	0.000064265200 	0.000028461300 	0.000092726500 
203.38663	0.000068916300 	0.000028462400 	0.000097378700 
203.38762	0.000078296200 	0.000028506200 	0.000106802000 
203.38862	0.000088743000 	0.000028771900 	0.000117515000 
203.38962	0.000093939800 	0.000029230200 	0.000123170000 
203.39061	0.000094725200 	0.000029623300 	0.000124349000 
203.39161	0.000099017100 	0.000029964200 	0.000128981000 
203.39261	0.000100690000 	0.000030121600 	0.000130812000 
203.39361	0.000094558600 	0.000030209700 	0.000124768000 
203.3946	0.000084501100 	0.000030238900 	0.000114740000 
203.3956	0.000073065900 	0.000030243200 	0.000103309000 
203.3966	0.000069658200 	0.000030104800 	0.000099763000 
203.3976	0.000100199000 	0.000029772500 	0.000129971000 
203.39859	0.000117883000 	0.000029594000 	0.000147477000 
203.39959	0.000106613000 	0.000029973100 	0.000136586000 
203.40059	0.000069119700 	0.000030772400 	0.000099892100 
203.40159	0.000035115200 	0.000031447700 	0.000066562900 
203.40258	0.000070900000 	0.000031616600 	0.000102517000 
203.40358	0.000113119000 	0.000031456400 	0.000144575000 
203.40458	0.000131086000 	0.000031422600 	0.000162508000 
203.40558	0.000120901000 	0.000031505300 	0.000152406000 
203.40657	0.000091077300 	0.000031514500 	0.000122592000 
203.40757	0.000089462100 	0.000031766000 	0.000121228000 
203.40857	0.000111908000 	0.000032158500 	0.000144067000 
