Wavelength	Xsec_Nan
190.29543	0.000821162
190.2963	0.000778307
190.29717	0.000746914
190.29805	0.000739345
190.29892	0.00076323
190.29979	0.000806798
190.30067	0.000852456
190.30154	0.000898446
190.30241	0.0009496
190.30329	0.001
190.30416	0.00104
190.30503	0.00106
190.30591	0.00106
190.30678	0.00105
190.30765	0.00101
190.30853	0.000952063
190.3094	0.000873755
190.31027	0.000795624
190.31114	0.000749436
190.31202	0.00075884
190.31289	0.000825336
190.31376	0.000931166
190.31464	0.00105
190.31551	0.00114
190.31638	0.00118
190.31726	0.00117
190.31813	0.00113
190.319	0.00106
190.31988	0.000995627
190.32075	0.000933532
190.32162	0.000871635
190.3225	0.000801942
190.32337	0.000723284
190.32424	0.000649992
190.32512	0.000611946
190.32599	0.000624219
190.32686	0.000659276
190.32774	0.000708937
190.32861	0.000780054
190.32948	0.000870054
190.33036	0.000960463
190.33123	0.00102
190.3321	0.00103
190.33298	0.00102
190.33385	0.000994464
190.33472	0.000969475
190.3356	0.000936401
190.33647	0.000895776
190.33734	0.000857831
190.33822	0.000833059
190.33909	0.000826033
190.33996	0.000838633
190.34084	0.000869335
190.34171	0.000902541
190.34258	0.000910753
190.34346	0.000880793
190.34433	0.000827532
190.3452	0.000781112
190.34608	0.000765776
190.34695	0.000788087
190.34782	0.000840463
190.3487	0.000905717
190.34957	0.000965087
190.35045	0.00101
190.35132	0.00104
190.35219	0.00105
190.35307	0.00104
190.35394	0.00102
190.35481	0.000971051
190.35569	0.000908791
190.35656	0.000852119
190.35743	0.000826143
190.35831	0.000837347
190.35918	0.000868255
190.36005	0.000896975
190.36093	0.000912459
190.3618	0.000915886
190.36268	0.000914619
190.36355	0.000915175
190.36442	0.000921292
190.3653	0.000936917
190.36617	0.000966788
190.36704	0.00101
190.36792	0.00104
190.36879	0.00104
190.36967	0.000996353
190.37054	0.00091456
190.37141	0.00083878
190.37229	0.000802309
190.37316	0.000815236
190.37403	0.000860242
190.37491	0.000908208
190.37578	0.000939549
190.37666	0.000945215
190.37753	0.000924166
190.3784	0.000885785
190.37928	0.000851245
190.38015	0.00084564
190.38102	0.000881027
190.3819	0.000943638
190.38277	0.001
190.38365	0.00102
190.38452	0.001
190.38539	0.000946893
190.38627	0.000890517
190.38714	0.000852929
190.38801	0.000838048
190.38889	0.00083367
190.38976	0.000822439
190.39064	0.000793885
190.39151	0.000751589
190.39238	0.000710696
190.39326	0.000684582
190.39413	0.000671754
190.39501	0.000660676
190.39588	0.000645021
190.39675	0.000629735
190.39763	0.000619695
190.3985	0.000601667
190.39938	0.000553861
190.40025	0.000479062
190.40112	0.000412477
190.402	0.000389814
190.40287	0.000421727
190.40375	0.000486065
190.40462	0.00055844
190.40549	0.000634499
190.40637	0.000714942
190.40724	0.000796684
190.40812	0.000877192
190.40899	0.000952797
190.40986	0.00101
190.41074	0.00105
190.41161	0.00105
190.41249	0.00103
190.41336	0.00101
190.41423	0.000994116
190.41511	0.000996822
190.41598	0.00102
190.41686	0.00104
190.41773	0.00106
190.41861	0.00108
190.41948	0.00111
190.42035	0.00111
190.42123	0.00105
190.4221	0.000941911
190.42298	0.000829792
190.42385	0.000759836
190.42472	0.000748997
190.4256	0.000793048
190.42647	0.000878064
190.42735	0.00098203
190.42822	0.00108
190.4291	0.00117
190.42997	0.00124
190.43084	0.00129
190.43172	0.0013
190.43259	0.00128
190.43347	0.00123
190.43434	0.00115
190.43522	0.00106
190.43609	0.000993181
190.43696	0.000964717
190.43784	0.000991494
190.43871	0.00106
190.43959	0.00115
190.44046	0.00123
190.44134	0.00129
190.44221	0.00129
190.44308	0.00122
190.44396	0.00109
190.44483	0.000938391
190.44571	0.000824167
190.44658	0.000764218
190.44746	0.000757815
190.44833	0.000802999
190.44921	0.00088832
190.45008	0.000992965
190.45095	0.00109
190.45183	0.00116
190.4527	0.00117
190.45358	0.00111
190.45445	0.00102
190.45533	0.000914383
190.4562	0.000847247
190.45708	0.000837306
190.45795	0.000867588
190.45883	0.000908556
190.4597	0.000932425
190.46057	0.000923323
190.46145	0.000887389
190.46232	0.000848479
190.4632	0.000829643
190.46407	0.000832174
190.46495	0.00083168
190.46582	0.000799688
190.4667	0.000732634
190.46757	0.000660915
190.46845	0.000625327
190.46932	0.00064561
190.47019	0.000720591
190.47107	0.000833198
190.47194	0.0009442
190.47282	0.00102
190.47369	0.00105
190.47457	0.00107
190.47544	0.00109
190.47632	0.00112
190.47719	0.00114
190.47807	0.00112
190.47894	0.00104
190.47982	0.000936665
190.48069	0.000845976
190.48157	0.000789859
190.48244	0.000771694
190.48331	0.000785
190.48419	0.000818915
190.48506	0.000860275
190.48594	0.00089778
190.48681	0.000925977
190.48769	0.000946465
190.48856	0.000965552
190.48944	0.000988561
190.49031	0.00101
190.49119	0.00102
190.49206	0.000999219
190.49294	0.000932467
190.49381	0.000843456
190.49469	0.000765848
190.49556	0.000716673
190.49644	0.000689804
190.49731	0.000682289
190.49819	0.000709584
190.49906	0.000782472
190.49994	0.000878811
190.50081	0.000959576
