Wavelength	Xsec_Ave	STTDEV_Xsec_Ave
190.71628		
190.71716		
190.71804		
190.71891		
190.71979		
190.72067		
190.72155		
190.72242		
190.7233		
190.72418		
190.72505		
190.72593		
190.72681		
190.72768		
190.72856		
190.72944		
190.73031		
190.73119		
190.73207		
190.73295		
190.73382		
190.7347		
190.73558		
190.73645		
190.73733		
190.73821		
190.73909		
190.73996		
190.74084		
190.74172		
190.74259		
190.74347		
190.74435		
190.74523		
190.7461		
190.74698		
190.74786		
190.74873		
190.74961		
190.75049		
190.75137		
190.75224		
190.75312		
190.754		
190.75487		
190.75575		
190.75663		
190.75751		
190.75838		
190.75926		
190.76014		
190.76102		
190.76189		
190.76277		
190.76365		
190.76452		
190.7654		
190.76628		
190.76716		
190.76803		
190.76891		
190.76979		
190.77067		
190.77154		
190.77242		
190.7733		
190.77418		
190.77505		
190.77593		
190.77681		
190.77769		
190.77856		
190.77944		
190.78032		
190.7812		
190.78207		
190.78295		
190.78383		
190.78471		
190.78558		
190.78646		
190.78734		
190.78822		
190.78909		
190.78997		
190.79085		
190.79173		
190.7926		
190.79348		
190.79436		
190.79524		
190.79611		
190.79699		
190.79787		
190.79875		
190.79962		
190.8005		
190.80138		
190.80226		
190.80314		
190.80401		
190.80489		
190.80577		
190.80665		
190.80752		
190.8084		
190.80928		
190.81016		
190.81103		
190.81191		
190.81279		
190.81367		
190.81455		
190.81542		
190.8163		
190.81718		
190.81806		
190.81894		
190.81981		
190.82069		
190.82157		
190.82245		
190.82332		
190.8242		
190.82508		
190.82596		
190.82684		
190.82771		
190.82859		
190.82947		
190.83035		
190.83123		
190.8321		
190.83298		
190.83386		
190.83474		
190.83562		
190.83649		
190.83737		
190.83825		
190.83913		
190.84001		
190.84088		
190.84176		
190.84264		
190.84352		
190.8444		
190.84527		
190.84615		
190.84703		
190.84791		
190.84879		
190.84966		
190.85054		
190.85142		
190.8523		
190.85318		
190.85406		
190.85493		
190.85581		
190.85669		
190.85757		
190.85845		
190.85932		
190.8602		
190.86108		
190.86196		
190.86284		
190.86372		
190.86459		
190.86547		
190.86635		
190.86723		
190.86811		
190.86899		
190.86986		
190.87074		
190.87162		
190.8725		
190.87338		
190.87425		
190.87513		
190.87601		
190.87689		
190.87777		
190.87865		
190.87953		
190.8804		
190.88128		
190.88216		
190.88304		
190.88392		
190.8848		
190.88567		
190.88655		
190.88743		
190.88831		
190.88919		
190.89007		
190.89094		
190.89182		
190.8927		
190.89358		
190.89446		
190.89534		
190.89622		
190.89709		
190.89797		
190.89885		
190.89973		
190.90061		
190.90149		
190.90237		
190.90324		
190.90412		
190.905		
190.90588		
190.90676		
190.90764		
190.90852		
190.9094		
190.91027		
190.91115		
190.91203		
190.91291		
190.91379		
190.91467		
190.91555		
190.91642		
190.9173		
190.91818		
190.91906		
190.91994		
190.92082		
190.9217		
190.92258		
190.92346		
190.92433		
190.92521		
190.92609		
190.92697		
190.92785		
190.92873		
190.92961		
190.93049		
190.93136		
190.93224		
190.93312		
190.934		
190.93488		
190.93576		
190.93664		
190.93752		
190.9384		
190.93927		
190.94015		
190.94103		
190.94191		
190.94279		
190.94367		
190.94455		
190.94543		
190.94631		
190.94719		
190.94806		
190.94894		
190.94982		
190.9507		
190.95158		
190.95246		
190.95334	8.343767421899177e-18	
190.95422		
190.9551		
190.95598		
190.95686		
190.95773		
190.95861		
190.95949		
190.96037		
190.96125		
190.96213		
190.96301		
190.96389		
190.96477		
190.96565		
190.96653		
190.96741		
190.96828		
190.96916		
190.97004		
190.97092		
190.9718		
190.97268		
190.97356		
190.97444		
190.97532		
190.9762		
190.97708		
190.97796		
190.97884		
190.97971		
190.98059		
190.98147		
190.98235		
190.98323		
190.98411		
190.98499		
190.98587		
190.98675		
190.98763		
190.98851		
190.98939		
190.99027		
190.99115		
190.99203		
190.99291		
190.99378		
190.99466		
190.99554		
190.99642		
190.9973		
190.99818		
190.99906		
190.99994		
191.00082		
191.0017		
191.00258		
191.00346		
191.00434		
191.00522		
191.0061		
191.00698		
191.00786		
191.00874		
191.00962		
191.0105		
191.01138		
191.01225		
191.01313		
191.01401		
191.01489		
191.01577		
191.01665		
191.01753		
191.01841		
191.01929		
191.02017		
191.02105		
191.02193		
191.02281		
191.02369		
191.02457		
191.02545		
191.02633		
191.02721		
191.02809		
191.02897		
191.02985		
191.03073		
191.03161		
191.03249		
191.03337		
191.03425		
191.03513		
191.03601		
191.03689		
191.03777		
191.03865		
191.03953		
191.04041		
191.04129		
191.04217		
191.04305		
191.04393		
191.04481		
191.04569		
191.04657		
191.04745		
191.04833		
191.04921		
191.05009		
191.05097		
191.05185		
191.05273		
191.05361		
191.05449		
191.05537		
191.05625		
191.05713		
191.05801		
191.05889		
191.05977		
191.06065		
191.06153		
191.06241		
191.06329		
191.06417		
191.06505		
191.06593		
191.06681		
191.06769		
191.06857		
191.06945		
191.07033		
191.07121		
191.07209		
191.07297		
191.07385		
191.07473		
191.07561	6.6548881182552105e-18	1.4630020123703276e-18
191.07649	7.410890571069288e-18	
191.07737		
191.07825		
191.07913		
191.08001		
191.08089		
191.08177		
191.08265	6.445852337861757e-18	
191.08353		
191.08441	2.65456505738466e-18	
191.08529	1.1889309517331209e-17	
191.08617	1.0989216133273565e-17	
191.08705		
191.08793		
191.08881		
191.08969		
191.09057		
191.09145		
191.09233		
191.09321		
191.09409		
191.09497		
191.09586		
191.09674		
191.09762		
191.0985		
191.09938		
191.10026		
191.10114		
191.10202		
